bound_state,p_value,z_value,expected_counts,true_counts
"(1, 2, 3, 8)",3.5603042540007767e-60,16.684635264403177,445.55492072369304,113
"(1, 2, 8, 9)",2.73899192563399e-35,-12.81775150124113,26.359902072436984,92
"(1, 2, 3, 7)",6.770537621625981e-218,31.67698538185451,945.2905462464666,87
"(4, 8, 9, 10)",1.9196296844315407e-06,-5.745941447216613,40.52919488103581,77
"(1, 2, 3, 4)",4.5310619878003036e-86,19.931776692285332,483.9756856698081,72
"(1, 2, 5, 9)",3.5753887316992457e-112,-22.74249824412917,4.865054815172808,55
"(1, 2, 9, 10)",1.6357427480762244e-83,-19.634861753021113,4.476517567995221,46
"(1, 5, 8, 9)",3.0362020365471576e-19,-9.5387379264846,11.579015840751405,44
"(4, 6, 7, 10)",4.350854750873198e-16,-8.753310543805588,12.316778695320503,43
"(3, 4, 8, 9)",8.030219130665864e-07,-5.891635728792668,16.850258745422202,41
"(1, 2, 7, 10)",6.728830127752395e-27,-11.22132846477298,8.43668091356961,41
"(5, 7, 8, 9)",2.049978305481176e-13,-8.029817189359322,11.636011174565171,39
"(1, 4, 7, 9)",0.00026256810031321723,-4.847491435233403,15.77270536253103,35
"(1, 2, 5, 7)",2.6987440700367423e-06,5.6880321632877395,86.30782292572285,34
"(1, 3, 8, 9)",0.0013345688538222798,-4.514217743968429,14.08357970655721,31
"(6, 7, 8, 9)",2.7065736978708824e-52,-15.563485683604906,2.316610261189845,26
"(1, 5, 7, 9)",6.174542599215669e-06,-5.544957345876094,6.67896930535836,21
"(1, 3, 6, 7)",1.3406346634311534e-19,-9.62315912416087,2.826755383882711,19
"(4, 7, 8, 10)",0.002022959940527574,-4.425248280241987,5.565243297025483,16
"(3, 5, 7, 10)",4.087484075102877e-130,-24.48875554063639,0.3575457299123679,15
"(1, 3, 6, 10)",3.4271960031998086e-81,-19.361458200121625,0.5565922667044295,15
"(3, 5, 8, 9)",1.7877927923091186e-34,-12.67144370234014,1.1883636060145841,15
"(1, 4, 6, 10)",2.603240193476825e-11,-7.412475011738724,2.43547192614233,14
"(3, 4, 6, 10)",1.3558650127088745e-16,-8.883885057565582,1.8662992108374705,14
"(1, 3, 5, 9)",0.00021400749147785668,-4.887917281438353,3.6569512137467233,13
"(3, 4, 6, 9)",1.2653739810786592e-74,-18.566260747437532,0.3910007040200311,12
"(3, 4, 6, 7)",0.00041850764050468855,-4.754143604661391,3.329027728973278,12
"(3, 4, 6, 8)",1.1946557148870937e-46,-14.708458758072387,0.508822093187502,11
"(3, 6, 7, 9)",2.1525855385928676e-11,-7.437634661048027,1.5983966022161389,11
"(4, 5, 6, 9)",1.9976566112655607e-10,7.137380140955932,67.01188768820968,9
"(3, 5, 7, 9)",8.91729433705543e-55,-15.925056045675827,0.2376026555055466,8
"(5, 6, 8, 9)",0.00045637817474909086,-4.7366098744584635,1.7447228440461624,8
"(1, 3, 4, 5)",1.3723160845265565e-07,6.17695815256513,50.68785609580701,7
"(2, 4, 9, 10)",1.1603105866827117e-21,-10.09998101479362,0.4239598604109102,7
"(2, 7, 8, 9)",3.3553528268542233e-07,-6.034173116297153,0.9916496991101291,7
"(5, 6, 9, 10)",0.00016761049935930613,4.935820420013738,35.14084023086422,6
"(3, 6, 9, 10)",2.831474257867211e-09,-6.763355219902684,0.6304112833615702,6
"(1, 6, 7, 8)",0.0008016742141437078,4.621078856818024,32.07994056040971,6
"(1, 3, 6, 8)",2.6636091959018125e-25,-10.891284497223698,0.2762123009289844,6
"(1, 3, 6, 9)",3.4860957228211834e-36,-12.976640050540997,0.1402550689723771,5
"(1, 3, 4, 6)",1.278054702905973e-21,-10.090498356172143,0.1458946518013982,4
"(3, 6, 8, 9)",4.926809075202103e-255,-34.26808308604611,0.013533123575811434,4
"(1, 5, 6, 8)",0.001619105731250537,4.473081780829021,23.707717219237132,2
